Title,Rating,Votes,Duration,Genre
114. Raqa,5.8, (127),1h 47m,Action
115. Arena Wars,4.9, (2K),1h 36m,Action
116. Jacob Tyler,4.7, (47),2h 13m,Action
117. My Spy: The Eternal City,5.7, (11K),1h 52m,Action
118. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m,Action
119. Death Whisperer 2,6.4, (1.3K),1h 50m,Action
120. The Roundup: Punishment,6.6, (5.1K),1h 49m,Action
121. Joe Baby,7.6, (29),1h 26m,Action
122. Kill Em All 2,4.1, (1.3K),1h 28m,Action
123. Sikandar Ka Muqaddar,6.0, (24K),2h 22m,Action
124. Uprising,6.6, (5.4K),2h 6m,Action
125. Duchess,4.6, (1.2K),1h 54m,Action
126. Bougainvillea,6.4, (3K),2h 18m,Action
127. Viduthalai Part 2,8.0, (16K),2h 50m,Action
128. Badland Hunters,5.9, (12K),1h 47m,Action
129. My Hero Academia: You're Next,7.0, (1.9K),1h 50m,Action
130. Simarik,6.4, (2.4K),1h 51m,Action
131. Devara Part 1,6.0, (20K),2h 56m,Action
132. Karma,8.1, (1.4K),2h 47m,Action
133. Article 370,7.8, (25K),2h 38m,Action
134. The Fix,4.6, (1.1K),1h 38m,Action
135. City Hunter,6.3, (5.5K),1h 42m,Action
136. One More Shot,5.4, (3.6K),1h 43m,Action
137. Officer Black Belt,6.8, (8K),1h 48m,Action
138. The Courier,6.0, (4.3K),1h 41m,Action
139. Levels,5.0, (1.5K),1h 33m,Action
140. Darkness of Man,4.8, (3.1K),1h 49m,Action
141. Khadaan,7.4, (2K),2h 17m,Action
142. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Action
143. The Wages of Fear,4.6, (4.1K),1h 44m,Action
144. The Twisters,2.5, (316),1h 26m,Action
145. Air Force One Down,4.4, (2.8K),1h 24m,Action
146. Mafia Wars,3.4, (220),1h 34m,Action
147. Ultraman: Rising,6.9, (6.2K),1h 57m,Action
148. The Prosecutor,6.8, (1.4K),1h 57m,Action
149. Lights Out,4.9, (1.8K),1h 30m,Action
150. Striking Rescue,5.6, (362),1h 46m,Action
151. The Quiet Ones,6.5, (565),1h 50m,Action
152. One Fast Move,5.0, (2.2K),1h 48m,Action
153. Fighter,6.2, (52K),2h 46m,Action
154. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m,Action
155. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Action
156. The Lost Tiger,7.8, (41),1h 30m,Action
157. The Family Star,5.4, (5.4K),2h 39m,Action
158. Pani,6.9, (2.8K),2h 23m,Action
159. Yolo,6.9, (3.6K),2h 9m,Action
160. Snow White and the Seven Samurai,3.2, (276),1h 28m,Action
161. Agent Recon,2.4, (664),1h 25m,Action
162. Panda Plan,5.1, (1.1K),1h 39m,Action
163. Operation Blood Hunt,3.4, (464),1h 33m,Action
164. Freedom,5.9, (1.3K),1h 50m,Action
165. Life After Fighting,6.4, (1.9K),2h 6m,Action
166. Jigra,6.0, (23K),2h 33m,Action
167. Dan Da Dan: First Encounter,8.2, (2.6K),1h 23m,Action
168. Saripodhaa Sanivaaram,7.0, (8.9K),2h 46m,Action
169. Harbin,6.4, (511),1h 48m,Action
170. Anaconda,4.9, (605),1h 24m,Action
171. Golden Kamuy,6.3, (2.5K),2h 7m,Action
172. Die Hart 2: Die Harter,4.3, (5.4K),1h 32m,Action
173. Kahar: Kapla High Council,7.0, (444),1h 42m,Action
174. Max,7.1, (3.2K),2h 12m,Action
175. Latency,4.2, (2K),1h 34m,Action
176. The Clean Up Crew,4.1, (1.1K),1h 35m,Action
177. Murder Company,3.7, (1.5K),1h 26m,Action
178. Cloud,6.3, (914),2h 4m,Action
179. Utopia,3.6, (347),1h 31m,Action
180. Rats!,7.9, (85),1h 25m,Action
181. Sixty Minutes,5.7, (5.1K),1h 28m,Action
182. Elyas,6.1, (1.3K),1h 45m,Action
183. Echo 8,3.9, (181),1h 36m,Action
184. The Last Kumite,4.6, (2.3K),1h 45m,Action
